Company_NAME,Company_IN_USA_Y_N,Company_STATE,Company_County,Company_City,Company_Zipcode,Type_of_Sale_Desc,Managing EmployeeFNLN,Employee_ID,Amount_Sold_For,Contract_Sold_Date
QuantumBridge Technologies,Y,Georgia,Fulton County,Atlanta,30308,Legal Services,Emily Allen,8046B,"$18,500 ",2022-08-01
Stratosphere Solutions,Y,California,Los Angeles County,Malibu,90265,Legal Services,Joseph Young,9157C,"$19,000 ",2021-10-01
CoreFocus Industries,Y,Illinois,Cook County,Chicago,60618,Legal Services,Elizabeth Hernandez,0268D,"$19,500 ",2020-12-01
FusionAxis Corporation,Y,New York,New York County,New York City,10036,Legal Services,Logan King,1379E,"$20,000 ",2022-12-01
OrbitEdge Innovations,Y,Florida,Miami Dade County,Miami Beach,33140,Computer Replacement,Ella Wright,2480F,"$20,500 ",2023-12-01
RadiantPeak Ventures,Y,Texas,Harris County,Houston,77024,Computer Replacement,Anthony Lopez,3591G,"$21,000 ",2021-03-01
SynapseDynamics Inc.,Y,Pennsylvania,Philadephia,Philadelphia,19112,Software,Avery Hill,4602H,"$21,500 ",2021-07-01
EmpowerWorks Enterprises,Y,California,San Francisco County,San Francisco,94129,Software,John Scott,5713I,"$22,000 ",2023-05-01
InsightTrack Solutions,Y,Washington D.C.,District of Columbia,DC,20004,Software,Scarlett Green,6824J,"$22,500 ",2021-11-01
ParadigmShift Industries,Y,Georgia,Fulton County,Atlanta,30309,Consulting,Ryan Adams,7935K,"$23,000 ",2021-07-01
TechNova Corporation,Y,California,Los Angeles County,Pacific Palisades,90272,Consulting,Grace Baker,8046L,"$23,500 ",2022-08-01
NexusPoint Ventures,Y,Illinois,Cook County,Chicago,60622,Consulting,Ethan Gonzalez,9157M,"$24,000 ",2022-09-01
QuantumHorizon Solutions,Y,New York,New York County,New York City,10065,Legal Services,Madison Nelson,0268N,"$24,500 ",2021-10-01
VisionCraft Enterprises,Y,Florida,Miami Dade County,Miami Beach,33141,Consulting,Andrew Carter,1379O,"$25,000 ",2022-11-01
BrightPath Innovations,Y,Texas,Harris County,Houston,77027,Consulting,Chloe Mitchell,2480P,"$25,500 ",2022-12-01
SynergySphere Inc.,Y,Pennsylvania,Philadephia,Philadelphia,19118,Consulting,Matthew Perez,3591Q,"$26,000 ",2023-02-01
SparkWave Technologies,Y,California,San Francisco County,San Francisco,94133,Legal Services,Victoria Roberts,4602R,"$26,500 ",2022-04-01
ZenithGrowth Group,Y,Washington D.C.,District of Columbia,DC,20005,Legal Services,Nathan Turner,5713S,"$27,000 ",2022-02-01
TitanForge Innovations,Y,Georgia,Fulton County,Atlanta,30310,Legal Services,Lily Phillips,6824T,"$27,500 ",2020-06-01
BlueHorizon Enterprises,Y,California,Los Angeles County,Venice,90291,Software,Samuel Campbell,7935U,"$28,000 ",2020-07-01
HorizonBound Solutions,Y,Illinois,Cook County,Chicago,60625,Software,Addison Parker,8046V,"$28,500 ",2023-04-01
NovaBridge Ventures,Y,New York,New York County,New York City,10075,Security Liason,Gabriel Evans,9157W,"$29,000 ",2023-09-01
ApexWave Technologies,Y,Florida,Miami Dade County,Miami,33142,Security Liason,Natalie Edwards,0268X,"$29,500 ",2020-09-01
SummitVision Inc.,Y,Texas,Harris County,Houston,77030,Virus Scanning,Lucas Collins,1234A,"$30,000 ",2020-11-01
